movieId,title ,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995) ,Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,The Shawshank Redemption (1994),Drama
6,The Godfather (1972),Crime|Drama
7,The Dark Knight (2008),Action|Crime|Drama
8,The Godfather Part II (1974),Crime|Drama
9,12 Angry Men (1957),Drama
10,Schindler's List (1993),Biography|Drama|History
11,The Lord of the Rings: The Return of the King (2003),Adventure|Drama|Fantasy
12,Pulp Fiction (1994),Crime|Drama
13,The Lord of the Rings: The Fellowship of the Ring (2001),Adventure|Drama|Fantasy
14,Forrest Gump (1994),Drama|Romance
15,The Good the Bad and the Ugly (1966),Western
16,Fight Club (1999),Drama
17,Inception (2010),Action|Adventure|Sci-Fi|Thriller
18,The Lord of the Rings: The Two Towers (2002),Adventure|Drama|Fantasy
19,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Fantasy|Sci-Fi
20,The Matrix (1999),Action|Sci-Fi
21,Goodfellas (1990),Biography|Crime|Drama
22,One Flew Over the Cuckoo's Nest (1975),Drama
23,Se7en (1995),Crime|Drama|Mystery|Thriller
24,Seven Samurai (1954),Action|Drama
25,It's a Wonderful Life (1946),Drama|Family|Fantasy
26,The Silence of the Lambs (1991),Crime|Drama|Thriller
27,Saving Private Ryan (1998),Drama|War
28,City of God (2002),Crime|Drama
29,Interstellar (2014),Adventure|Drama|Sci-Fi
30,Life Is Beautiful (1997),Comedy|Drama|Romance|War
31,The Green Mile (1999),Crime|Drama|Fantasy
32,Star Wars (1977),Action|Adventure|Fantasy|Sci-Fi
33,Terminator 2: Judgment Day (1991),Action|Sci-Fi
34,Back to the Future (1985),Adventure|Comedy|Sci-Fi
35,Spirited Away (2001),Animation|Adventure|Family|Fantasy
36,The Pianist (2002),Biography|Drama|Music|War
37,Psycho (1960),Horror|Mystery|Thriller
38,Gladiator (2000),Action|Adventure|Drama
39,The Lion King (1994),Animation|Adventure|Drama|Family
40,The Departed (2006),Crime|Drama|Thriller
41,Whiplash (2014),Drama|Music
42,The Prestige (2006),Drama|Mystery|Sci-Fi|Thriller
43,The Usual Suspects (1995),Crime|Drama|Mystery|Thriller
44,Casablanca (1942),Drama|Romance|War
45,Grave of the Fireflies (1988),Animation|Drama|War
46,Cinema Paradiso (1988),Drama|Romance
47,Rear Window (1954),Mystery|Thriller
48,Alien (1979),Horror|Sci-Fi
49,City Lights (1931),Comedy|Drama|Romance
50,Apocalypse Now (1979),Drama|Mystery|War
51,Memento (2000),Mystery|Thriller
52,Indiana Jones and the Raiders of the Lost Ark (1981),Action|Adventure
53,Django Unchained (2012),Drama|Western
54,The Avengers (2012),Action|Adventure|Sci-Fi